plantBEC,seedBEC,HTp
MSxv,MSdm3,0.983405381
CWHvh3,CWHvh1,0.983391086
MSdv,ESSFdh2,0.983386585
MSdm2,ICHdw1,0.983382245
SBPSmk,ICHmw3,0.983365398
ESSFmcw,ESSFwk1,0.983348578
SBSmc3,ICHwk2,0.983343761
MSdw,ICHmw3,0.983323761
ESSFwc4,ESSFwh3,0.983317504
ESSFxc2,ICHmw5,0.98330196
ESSFwm2,ICHvk1,0.983292583
IDFxw,ICHxm1,0.983279749
ICHmm,ICHmw3,0.983276853
IDFdk2,IDFww,0.983239611
SBPSxc,SBSdh1,0.983231363
MSxv,SBSmc1,0.983212249
ESSFxc2,MSdm1,0.983198709
MSdm1,ICHmw2,0.983178745
ESSFmm2,ICHvk2,0.983160831
ESSFdv2,ESSFdh1,0.983107535
ESSFdcw,ESSFwh2,0.983013144
IDFdm1,ICHxm1,0.982997142
SBPSxc,SBSdw1,0.982989399
ESSFxvp,ESSFmw2,0.982983079
CWHms1,CWHmm1,0.9829142
SBPSmc,ICHdk,0.982912385
CWHxm2,CWHxm1,0.982895864
SBSmm,ICHmk3,0.982888308
ESSFwcw,ESSFwh1,0.982869518
SBSmc3,ICHmk2,0.982860601
ESSFmv1,SBSmw,0.98285913
SBPSdc,ICHdk,0.982801839
CWHms1,CWHxm2,0.982787324
ESSFmv1,SBSmc1,0.982773202
ESSFwm1,ICHwk1,0.982771801
ESSFwmp,ESSFwh3,0.982765018
CWHvh3,CWHwh1,0.98275499
ESSFdk1,ESSFwh3,0.982729827
ESSFwm1,ICHvk1,0.982712674
ESSFwcp,ESSFwc2,0.982697962
ICHmw2,CWHds1,0.982689852
ESSFmm3,ICHwk4,0.98266719
ESSFmh,ICHmw4,0.98266104
ESSFmm3,ESSFvc,0.982643393
SBPSmk,ICHmk3,0.982626694
ESSFmv1,ICHmc1,0.982611891
ESSFdc3,ICHdm,0.982581957
ESSFwm4,ICHmw2,0.982581951
ESSFwv,ICHvc,0.982563043
ESSFvcp,ESSFvcw,0.982540593
ESSFdc3,ICHmk4,0.982532092
ESSFxv1,ESSFmw1,0.982526949
ESSFxc2,ICHdm,0.982465517
ESSFmv3,SBSwk1,0.982460974
ESSFwc4,CWHms1,0.982445763
ESSFmcw,ICHvc,0.982445217
CWHvh2,CWHvm1,0.982418147
CWHdm,CWHdm,0.982370778
ESSFxc3,ESSFdh1,0.982357706
ESSFmv1,ICHwk4,0.982334612
ESSFxvw,MSdc2,0.982325971
ICHmw1,ICHdw3,0.982291211
ESSFxc1,ESSFdh2,0.982287201
CWHms2,CWHdm,0.982273177
SBSmw,ICHmw3,0.982256493
MSdc2,ESSFmh,0.982222647
ESSFwc3,ICHvk2,0.982220996
ESSFxvw,MSdc3,0.982209658
ESSFmvp,ESSFwk2,0.982180173
ESSFmkw,MHmm2,0.98217895
CWHxm2,CWHxm2,0.982100631
ESSFmmw,ESSFmm1,0.982092284
IDFdw,IDFdk2,0.982088238
SBPSxc,MSdm3,0.982082025
IDFxc,IDFww1,0.982080178
SBSmc1,ICHmk3,0.982056047
CWHvm1,CWHvm1,0.982043859
SBPSxc,ICHmk1,0.982001096
ESSFmc,SBSwk1,0.981944288
ESSFwc3,CWHws2,0.981939011
IDFdk4,IDFdm2,0.981929266
ESSFdcp,ESSFwh2,0.981921331
MHwh1,CWHvm2,0.981890239
ESSFvcp,ESSFwm3,0.981873274
MSdc2,ESSFdh1,0.981858338
MHwh,CWHvm2,0.981838079
ESSFmvp,ESSFwc3,0.981746127
IDFxk,IDFxx2,0.98173958
ESSFmkp,CWHws2,0.981738989
ESSFdcp,ESSFwh3,0.981736174
ESSFmm3,ICHmm,0.981733049
ESSFxc3,MSdc1,0.98171293
SBPSmc,ICHdw3,0.981710236
IDFdk1,IDFxh1,0.98170777
SBSdw2,ICHdw4,0.981695889
SBSdw3,ICHdw3,0.981685351
ESSFwk2,CWHwm,0.981625899
ESSFmm1,ICHvk1,0.981570562
ESSFdk2,ESSFwh3,0.98156304
IDFxw,IDFxh1,0.981562118
ESSFwc2,CWHws2,0.981540502
MHmm1,CWHvh2,0.98153853
ESSFxcp,ESSFmw1,0.98153151
IDFmw2,ICHdw4,0.981515821
MSdc3,ESSFdh2,0.981504593
ESSFdk2,ESSFmh,0.981491535
ESSFxcp,ESSFdc1,0.981450547
ESSFmw,CWHws2,0.98144997
MSdm3,ICHmk1,0.981443889
MSxk1,ICHmk1,0.981417858
ESSFwm2,CWHms1,0.981364896
MHwhp,MHwhp,0.981338298
ESSFxc1,MSdm2,0.981335191
ESSFwcp,ESSFvcw,0.981286157
MSxk2,MSdm3,0.981272785
ICHmk1,ICHxw,0.981254414
ESSFwmp,ESSFwh1,0.981244221
ESSFxvp,ESSFmww,0.981240384
SBPSdc,SBSmw,0.981226003
ESSFmv1,ICHdk,0.981222181
SBSmc2,ICHmk3,0.981180262
MSxk3,MSdc1,0.981160847
MHwh1,MHwh1,0.981145216
IDFdw,IDFww,0.981111525
ESSFmm1,ICHwk3,0.981063302
CWHmm1,CWHmm1,0.981022575
CWHwh2,CWHvm1,0.980994464
ESSFwc4,ICHvk1,0.980983178
ESSFdkw,ESSFwm4,0.980981947
ESSFxcp,ESSFxc2,0.980973096
SBSmc2,SBSmw,0.980941568
ESSFmmp,ESSFwk1,0.980939379
SBPSmc,ICHmc2,0.980929886
ESSFdvw,ESSFdc2,0.980923206
ESSFwm1,ESSFwh3,0.980920127
ESSFdk2,ICHwk4,0.980917951
ESSFwmw,ESSFwm3,0.98091412
SBSdw2,SBSdh1,0.980911784
IDFdk4,IDFdm1,0.980898321
ESSFxv2,ESSFdc1,0.98086725
ESSFdh1,CWHds2,0.980850671
ESSFxvw,ESSFdc2,0.980850439
IDFxw,IDFxx2,0.9808459
ESSFmv4,ICHmc1,0.980841139
SWBmks,ESSFwv,0.980773181
ESSFmc,ICHmm,0.980770897
ESSFdvw,MSdc3,0.980755309
ESSFdc2,ESSFmh,0.980730762
MSxk2,IDFdk2,0.980713232
ESSFwk1,ICHvk1,0.980660311
SBSdk,ICHmc2,0.980639113
ESSFmw1,CWHms1,0.980623804
IDFdm1,IDFdh,0.980621972
SBPSmk,ICHmk2,0.980596767
BWBSwk1,ICHwk4,0.980588085
ESSFwh2,ICHwk1,0.980574052
IDFdm1,IDFxx1,0.98050625
ICHmk5,SBSdh1,0.980485246
MSxk3,MSxk1,0.980419918
ESSFmm2,SBSvk,0.980418222
BWBSwk1,SBSwk1,0.980347087
ESSFwk1,ICHwk3,0.980309133
ESSFxv2,ESSFmww,0.98027999
ESSFdkp,ESSFwm1,0.980267958
ESSFmv2,ICHwk4,0.980267088
ESSFdh1,ICHdw1,0.980264856
ESSFwv,ICHmc1,0.980260077
ESSFmm3,ICHmk4,0.980256952
ESSFwc2,ICHwk1,0.980248086
ESSFwv,CWHwm,0.980198216
MSdm1,ICHmw5,0.980189282
ESSFxc1,MSdm1,0.980185997
MSxk2,MSdm1,0.980164422
ESSFwm3,ESSFwh3,0.980116772
ESSFdv1,MSdm2,0.98011296
ESSFwh1,CWHms1,0.980071067
ESSFxc3,MSdc2,0.980059097
ESSFvc,ICHvk1,0.980051177
SBPSxc,ICHdk,0.980045203
CWHvm2,CWHms2,0.980041505
ESSFwcw,ESSFwc2,0.979967079
MSdk,ICHmk1,0.979911853
ESSFdkw,ESSFwh2,0.97987851
MHwhp,CWHvm2,0.979826898
ESSFdk2,ESSFwm4,0.979826706
IDFdk4,ICHxm1,0.979821745
ESSFdk1,ESSFwh1,0.979771329
ESSFvcw,ESSFwh3,0.979754293
SBSmc1,ICHmw5,0.979749941
MSxk1,ESSFdh2,0.979733994
ESSFdvp,ESSFdvw,0.979728567
IDFdw,IDFdc,0.979685232
ESSFmww,ESSFmw2,0.979679363
ESSFdcw,ICHmw4,0.979655424
ICHmk3,ICHmw2,0.97962288
ESSFxc2,ICHmk4,0.979564505
ICHwk2,ICHmw3,0.979546295
CWHws2,CWHms2,0.9795404
ESSFmv3,BWBSwk1,0.979535725
ICHwk4,CWHws1,0.979530756
CWHds1,CWHxm1,0.979512501
ESSFxcp,MSdc2,0.979495436
ICHdw3,ICHdw4,0.979412883
IDFdh,IDFxx1,0.979370504
ESSFwm2,ICHmk4,0.979361968
ESSFwcw,ESSFwc4,0.979352588
SBPSdc,SBSdw2,0.979318641
MSxv,MSdm1,0.979304299
ESSFdcp,ESSFmw2,0.979303492
ESSFdcp,ESSFwc2,0.979293253
ESSFwv,CWHws2,0.979292962
ESSFxcp,ESSFdv1,0.979280426
ESSFdc3,ICHdw3,0.979202987
ESSFdc1,ICHmk4,0.979159833
MSxk2,IDFdm1,0.979125854
ESSFmh,ICHmw3,0.979102719
ICHmk5,ICHdw4,0.979097723
SBPSxc,IDFdk3,0.979080128
ESSFwh2,ICHmw3,0.979073178
ESSFmh,ICHdw1,0.978992899
ESSFdkp,ESSFdk2,0.978951856
ESSFdh1,IDFww,0.978944625
ESSFwc3,MHmm2,0.978941835
ESSFwv,ICHwk3,0.978938747
ESSFdcp,ESSFdk1,0.978927162
ESSFdc3,ICHdk,0.978919911
ICHmk4,ICHmw2,0.978903846
MHmm1,CWHvm1,0.978900802
ICHmw1,CWHds2,0.978897558
MSdk,SBSdh1,0.978885635
ESSFwcp,ESSFmm1,0.978878088
ESSFmw2,CWHms1,0.97885424
BWBSwk1,ICHmc1,0.978843011
ESSFdcp,ESSFwm3,0.978818285
ESSFdc2,ICHmk1,0.978818242
ESSFwh3,ICHmw4,0.97881431
ESSFxc3,ESSFmh,0.978807574
ESSFdcw,ESSFwm4,0.978803186
IDFdk3,SBSmh,0.978781229
ESSFvcp,ESSFwc2,0.978761419
ESSFmv4,BWBSwk1,0.97874002
CWHmm2,CWHmm2,0.978734875
ESSFwm4,ICHmk4,0.978717039
IDFxm,IDFdm2,0.978714993
SBSmc3,SBSmh,0.978711638
CWHms2,CWHvm1,0.978707466
SBPSmc,ICHmk3,0.978701987
SBPSmc,SBSmh,0.978687335
ESSFxcw,ESSFmww,0.978672536
ESSFdvp,ESSFxv1,0.978670131
ESSFdkp,ESSFvc,0.97864492
SBPSdc,ICHmk3,0.978621243
MSdk,ICHdm,0.97861214
SBSdw3,ICHmc2,0.978608272
ESSFdc1,ICHwk1,0.978598081
ICHdk,ICHmw2,0.978582843
ESSFdk2,ICHwk2,0.978579133
ESSFdk2,ICHmm,0.978568916
CWHwh1,CWHvm1,0.978567688
ESSFwk2,ICHwk3,0.978567678
ESSFdkw,ESSFwk1,0.978562039
ESSFmmw,ESSFwm1,0.978543605
ESSFdc3,MSdw,0.978538358
IDFxm,ICHdw4,0.978531173
SBSmc2,ICHwk2,0.978496398
ESSFwmp,ESSFwm1,0.978488336
CWHwh1,CWHvh3,0.978486341
SBSdk,ICHdw3,0.978481138
SBPSdc,ICHmk2,0.978464962
ESSFmm1,ICHwk4,0.978391363
SBSwk3,SBSdh1,0.978380941
ESSFwm4,ICHwk1,0.978379289
MSdv,MSdc1,0.978378362
IDFdk2,ICHdw4,0.97837506
ESSFxvw,ESSFdv1,0.978372627
ESSFmmp,ESSFwcw,0.978372269
ESSFdkp,ESSFmm1,0.978367901
ESSFxc2,MSdw,0.97835206
ESSFmm3,ESSFmh,0.978331915
MSdc1,ESSFdh1,0.978269161
IDFdk1,IDFdk2,0.978254079
SBSmc2,ICHdw3,0.978214021
MHunp,SWBvk,0.978189797
ESSFxcw,ESSFxc1,0.978167938
ESSFdc1,ICHmw5,0.978133825
IDFxx2,IDFxx1,0.97812892
ESSFmvp,ESSFwvw,0.978084651
SBSwk2,ICHwk3,0.978078385
ESSFmh,ICHmw5,0.978072982
ESSFmm1,ESSFvc,0.978067931
ESSFmm3,ICHwk3,0.978057082
ESSFwmw,ESSFwh2,0.97803631
SBSmc3,SBSdw2,0.978034875
CWHvm2,CWHvm2,0.978020543
IDFxh1,IDFxx1,0.977967704
ESSFdcp,ESSFwm1,0.977929511
ICHmk1,ICHxm1,0.977847909
ESSFmcw,ICHmc1,0.977833352
ESSFmv3,ICHvk2,0.977828441
ESSFdc3,ICHmk1,0.977769905
SBSmc1,ICHwk1,0.977762252
ESSFmv1,SBSwk1,0.977732739
MSdc2,ICHmw5,0.977707753
SBPSxc,SBSdw2,0.977676645
ESSFwmp,ESSFvcw,0.977645323
IDFdm2,ICHxm1,0.977635952
IDFxh2,IDFxx2,0.977625327
ESSFxc2,ESSFwh2,0.977611411
ICHmk2,ICHmw5,0.977610823
ESSFwcw,MHmm2,0.977566188
ESSFmmw,MHmm2,0.977564493
ESSFvcp,ESSFwc4,0.977552424
CWHwh1,CWHvh1,0.977537389
MSdc3,CWHds2,0.977520262
SBSmm,ICHdk,0.977503441
CWHds1,CWHdm,0.977493907
MSdw,ICHdw4,0.977481012
MHmm1,CWHms2,0.977439694
SBPSmk,SBSmw,0.977439198
ESSFwk1,ICHwk4,0.977428968
BWBSwk1,ICHwk2,0.97742624
SBSdw2,ICHmw3,0.9774259
MSdc3,ICHmw5,0.977422597
MSdk,ICHdw4,0.9773995
MSdw,ICHmw5,0.977370422
ESSFmv1,SBSmm,0.977369869
ESSFmc,ICHwk2,0.977369549
IDFdk4,IDFxm,0.977352575
SBSmh,ICHdw4,0.977333551
ESSFwmp,ESSFdk1,0.977303241
ESSFwv,ICHvk2,0.977269626
IDFdk3,ICHdw3,0.97724024
ESSFdkw,ESSFdc1,0.977237361
ESSFdvp,ESSFmwp,0.977234633
ESSFdkp,ESSFdk1,0.977208181
IDFxw,IDFxx1,0.977196606
ESSFdvw,ESSFdv2,0.97719212
ICHmw5,ICHmw2,0.977175885
ESSFdc1,ESSFmh,0.97716472
ICHdk,ICHdw1,0.977159842
IDFdw,IDFmw2,0.977158471
SBSmc2,SBSdw1,0.977131496
