plantBEC,seedBEC,HTp
CWHwh2,CWHvh3,0.999350846
ESSFdvw,ESSFmw2,0.998425418
ESSFwmw,ESSFwh3,0.99818435
ESSFwm4,ICHmw4,0.99818283
MHmm1,CWHvm2,0.997876615
ESSFxvw,ESSFmw2,0.997695938
CWHmm2,CWHmm1,0.997619163
CWHmm1,CWHdm,0.997587942
MSdk,ICHdw3,0.997252981
ESSFdvp,ESSFmww,0.996933894
SBSmc2,ICHmc2,0.996888955
ICHmk1,ICHdw1,0.996842044
ESSFmmw,ESSFwc4,0.996783564
ESSFmmw,ESSFwc2,0.996773858
ICHmk5,ICHdw3,0.996595596
ESSFmkp,MHmm2,0.996373102
ESSFdk1,ICHmw4,0.996329596
ESSFmkw,CWHws2,0.996288813
ESSFwmp,ESSFwm3,0.996231147
ESSFwmp,ESSFwc4,0.996221403
ESSFmv3,ICHvc,0.996140784
IDFxm,IDFmw2,0.995995668
CWHmm2,CWHxm2,0.995955388
ESSFmm2,ICHmm,0.995858823
ESSFdh2,IDFww,0.995735148
CWHvm2,CWHvm1,0.995733301
ESSFmm3,ESSFwh1,0.995638147
ESSFwm2,ICHmw4,0.995576326
SBPSdc,SBSmh,0.995547134
CWHms1,CWHds1,0.99551004
SBPSmk,ICHdw3,0.995437942
ESSFmmw,ESSFvc,0.995354674
ESSFwh2,ICHmw4,0.995243854
IDFxh2,IDFxh1,0.995193538
ESSFdc1,ICHmw4,0.995191519
ESSFxv2,ESSFmw2,0.995168113
IDFdk3,IDFmw2,0.994844489
SBSwk3,ICHmc2,0.994744234
ESSFmwp,ESSFmw2,0.994729228
CWHwh2,CWHvh2,0.994716936
MSdm1,ICHdw1,0.994582546
ESSFdkw,ESSFwc4,0.994430151
IDFdc,IDFww,0.994339476
ESSFxcp,ESSFmw2,0.994298255
ESSFxcp,ESSFmww,0.994127846
ESSFdvw,ESSFmw1,0.993994493
IDFdk5,IDFmw2,0.993932816
ESSFmh,ICHmw2,0.993917577
ESSFdv2,ESSFmw1,0.993841762
SBPSdc,SBSdh1,0.993783172
ESSFmc,ICHmc1,0.993766574
MHwhp,MHwh1,0.993675366
SBSmm,ICHmw3,0.99349303
ESSFmvp,ESSFwv,0.993477502
MHwh,CWHwh2,0.993420819
ESSFwcp,MHmm2,0.993361529
ESSFwm1,ICHmw4,0.993358608
ESSFmm3,ICHvk1,0.993279028
ESSFxvw,ESSFmw,0.993210384
MSdv,ESSFdh1,0.993169253
ESSFxcw,ESSFmw1,0.993077553
ESSFmm2,ICHwk1,0.993020548
ESSFwmw,ESSFwh1,0.992916926
SWBvks,SWBvk,0.992875395
MSdc3,ESSFdh1,0.992761089
ICHmk2,ICHdw4,0.992756821
IDFdk5,ICHxm1,0.992748095
IDFxh2,IDFxx1,0.992679966
ESSFdv1,ESSFdh1,0.992610066
ESSFxc2,ESSFmh,0.99251453
SBSmc3,SBSdh1,0.992503986
ESSFmm2,ICHwk4,0.992496927
IDFxh2,IDFdh,0.992492707
ESSFmv2,ICHvk2,0.992486419
ICHmk5,ICHmw3,0.992441753
CWHxm2,CWHdm,0.992427108
IDFdk3,ICHxm1,0.99238942
ESSFxcw,ESSFmw2,0.992340219
SBSmc1,ICHmw3,0.992263602
ESSFxvp,ESSFmw,0.99214593
ICHmk1,ICHdw4,0.992000792
IDFxk,IDFxx1,0.9919877
ESSFmm2,ICHwk3,0.991935443
ESSFmm2,ICHvk1,0.991893822
IDFdm1,ICHxw,0.991800119
ESSFxv2,ESSFmw,0.991754517
ESSFmk,CWHws2,0.991644311
MHwh,CWHvh3,0.99152931
SBSdh2,ICHmw3,0.991444379
ESSFxcw,ESSFdc2,0.991435567
MSdk,ICHmw3,0.991338746
IDFdk4,IDFmw2,0.991321946
ESSFmv3,ICHwc,0.991259535
ESSFdk2,ESSFwh1,0.991140143
ESSFdvp,ESSFdv2,0.991140083
ESSFmmp,MHmm2,0.991068082
SBPSdc,ICHdw3,0.990913602
ESSFdkp,ESSFwm3,0.990911537
ESSFmww,ESSFmw1,0.990906429
SBPSmc,SBSdh1,0.990905129
SBSdk,SBSmh,0.990903902
SBSmc3,ICHmk3,0.99088459
SBSdw2,ICHdw3,0.990867586
ESSFdkp,ESSFwc4,0.990843705
ESSFwcw,ESSFvc,0.990773281
ESSFdcp,ESSFwc4,0.990772589
ESSFmv3,ICHmc1,0.990724951
ICHmw5,ICHdw1,0.990711248
ESSFxv2,ESSFmw1,0.990694848
ESSFxvw,ESSFmww,0.990690618
CWHmm2,CWHdm,0.990678456
ESSFdkw,ESSFwm1,0.990667919
ESSFdk2,ICHmk4,0.990659717
MSdw,ICHmw2,0.990494037
ESSFdc2,ICHmw5,0.990470104
ESSFmm3,ICHwk1,0.990422867
MHmm2,CWHws2,0.990417289
ESSFdkw,ESSFvc,0.990286122
IDFxm,ICHxm1,0.990280649
ESSFdcp,ESSFdc1,0.990241333
ICHmw1,ICHmw3,0.99023527
IDFdk1,IDFdm1,0.990201154
SBSmm,ICHdw3,0.990191819
ESSFmv1,ICHmk3,0.990112305
MHwh,CWHvh2,0.990108769
SBSdh2,ICHdw3,0.990078679
SBPSdc,SBSdw1,0.990001946
MSxk3,MSdm2,0.989913456
ESSFdkp,ESSFvcw,0.989870844
ESSFdk2,ESSFwh2,0.98984956
MSdm3,ICHdw3,0.989813555
ESSFdvp,ESSFmw2,0.989795351
ESSFdcw,ESSFwh1,0.989727035
MSdm2,IDFww,0.989708604
CWHwh1,CWHwh1,0.989656293
CWHvh3,CWHvh3,0.989646676
CWHvh3,CWHvh2,0.989638487
MSxk3,ESSFdh2,0.989638239
SBPSxc,ICHmk2,0.98962878
ESSFmm3,ESSFwh2,0.989571505
ESSFdkw,ESSFwc2,0.989563392
ESSFwk2,ICHvk2,0.989531291
ICHmk2,ICHdw1,0.989475676
ESSFxc3,ESSFdc2,0.989405174
ESSFun,ICHwc,0.989373861
ESSFwh2,ICHmw2,0.989332542
SBSmc3,ICHmc2,0.989248308
MSxk2,ICHmk1,0.989217615
IDFdm2,ICHxw,0.989205305
SBPSmk,SBSdh1,0.989187911
SBSmc3,SBSdw1,0.989164714
SBSmc3,ICHdk,0.989164555
ESSFdkw,ESSFwh1,0.989159214
IDFxk,IDFdh,0.989066749
ESSFwc2,ICHvk1,0.988977564
MSxk3,ICHmk2,0.988972648
ESSFdv2,ESSFmw2,0.988957875
MSxk3,MSdm1,0.988947399
ESSFmc,ICHvc,0.98891691
ESSFwc4,ICHmw4,0.988870978
ESSFwh1,ICHmw4,0.988845668
ICHdk,ICHdw3,0.988764717
SBSmc2,SBSdh1,0.988764068
SBSdk,SBSdh1,0.988688498
ESSFmv1,ICHwk2,0.98861083
IDFdk3,ICHdw4,0.988572788
ESSFwm2,ESSFwh3,0.988566657
IDFdk1,ICHxm1,0.988536599
ESSFdcp,ESSFwm2,0.988486024
ESSFdk1,ICHmk4,0.988459213
ESSFdc3,ICHmw5,0.98841338
ESSFxc3,MSdc3,0.988413038
IDFdk2,ICHxw,0.988369696
CWHmm1,CWHxm2,0.988357012
ESSFmmw,ESSFwm3,0.988325626
ESSFdcp,ESSFwh1,0.988313291
MSdm3,ICHdw4,0.988296675
MSdc1,ESSFdh2,0.988292342
ESSFdkp,ESSFwcw,0.988288921
ESSFxcp,ESSFdv2,0.988189296
CWHwh2,CWHwh2,0.988167359
SBSmm,ICHmw2,0.988145141
MSxk3,ICHmk1,0.988076632
ESSFmv2,SBSvk,0.988056303
ESSFxvw,ESSFmw1,0.988040016
SBSdw1,ICHdw4,0.987935608
ESSFmmp,ESSFvcw,0.987926784
ESSFmc,ICHwk4,0.987915969
IDFdk2,ICHxm1,0.987900523
CWHws2,CWHws1,0.987887417
MSdm1,ICHdw4,0.987853657
MSxk3,MSdm3,0.987822382
ESSFdkw,ESSFwm3,0.987763639
SBSmc3,SBSmw,0.987752546
ESSFmmp,ESSFwc2,0.987737741
CWHwh2,CWHwh1,0.987721424
ICHdm,ICHdw1,0.987667372
MSdw,ICHdw1,0.987607832
ESSFmv4,ICHvc,0.987588656
ESSFmm2,ICHwk2,0.987580273
ESSFdc3,ICHmw3,0.987534534
ESSFdc3,ICHwk2,0.98750909
ESSFdcw,ESSFwh3,0.987399255
ESSFmm1,CWHws2,0.987205567
SBPSmk,SBSmh,0.987202306
SBSmc1,ICHwk2,0.987173794
ESSFdvw,ESSFmww,0.987170263
ESSFwmp,ESSFwm2,0.987096202
ESSFmwp,ESSFmw1,0.987086785
SBSdw2,SBSmh,0.987073187
IDFdk5,IDFdm2,0.987073163
ICHdk,ICHdw4,0.987067144
SWBvk,BWBSvk,0.987066658
MHwh,MHwh,0.987063615
ICHmk2,ICHdw3,0.987000228
ESSFdkw,ESSFdk1,0.986908753
ESSFxc1,ESSFdh1,0.986879497
ICHmk3,ICHmw3,0.986852764
MSxv,ICHmk2,0.986757308
ESSFmmp,ESSFmm1,0.986738953
ESSFxc3,ESSFmw1,0.986668382
ICHmw1,ICHmw2,0.986620006
ESSFdkw,ESSFwm2,0.986529535
SBSmw,ICHdw3,0.986529511
ESSFdvp,ESSFmw,0.986492834
BWBSwk1,ICHwk3,0.986468331
CWHvm2,CWHvh2,0.986429196
SBPSmk,SBSdw1,0.986391335
SBSmc1,ICHdw3,0.986379521
ESSFmc,ICHwk3,0.986348083
IDFmw2,ICHxw,0.986274808
ESSFmcp,ESSFwv,0.986237496
SBSdw1,ICHdw3,0.986195476
SBSdw3,SBSmh,0.986181663
ESSFxvw,ESSFdv2,0.986156622
ESSFmvp,ESSFmv2,0.986129169
MSdk,ICHmw5,0.986080444
PPxh2,PPxh1,0.986065119
ESSFdkw,ESSFwh3,0.98606228
ESSFmwp,ESSFmw,0.986057376
SBSmm,ICHmw5,0.986051768
SBSmc3,ICHdw3,0.98597556
ICHxm1,ICHxw,0.985950485
ESSFwm2,ESSFwh1,0.98594471
ICHdm,ICHmw2,0.985899241
SWBuns,MHun,0.985890814
ESSFdkp,ESSFwmw,0.985872132
ESSFmmw,ESSFwm2,0.985866238
ESSFmm2,SBSwk1,0.985821995
SBSdw3,SBSdh1,0.985808603
ESSFdc3,ICHmk3,0.985798989
ESSFxv1,ESSFmw2,0.985790615
ESSFmwp,ESSFmww,0.985763762
CWHvh1,CWHvh1,0.985742318
ESSFdkp,ESSFwc2,0.985737598
ESSFdk2,ICHwk1,0.98571407
ESSFdk1,ICHwk1,0.985630844
ESSFdc1,ICHmw2,0.985599054
ESSFdc2,ICHmw2,0.985596755
MSxv,ICHmk3,0.98552798
ESSFvcw,ESSFvc,0.985463921
CWHvh2,CWHvh2,0.985424331
MSxk2,ICHmk2,0.985420343
IDFdk5,ICHdw4,0.985396924
ESSFdcp,ESSFwm4,0.985384432
ESSFmm1,ICHvk2,0.98536757
SBPSmc,ICHmk2,0.985330103
CWHvh3,CWHvm1,0.985314672
ESSFwm1,ICHmk4,0.98525495
ESSFmmp,ESSFvc,0.985231509
ESSFvcp,ESSFvc,0.985229136
ESSFxcp,ESSFmw,0.985195898
ESSFdk2,ICHvk1,0.985173173
ESSFdc3,ICHmw2,0.985163744
SBPSmc,SBSdw1,0.985141418
ESSFxv1,ESSFmw,0.985086121
ICHdk,ICHmw3,0.984960345
ESSFmmw,ESSFwk1,0.984951754
SBSmc1,ICHmw2,0.984942229
ICHmk5,ICHmw2,0.984922044
ESSFwk1,CWHws2,0.98490456
ESSFmv2,ICHwk3,0.984903079
ICHmk2,ICHmw2,0.984882752
MSxv,SBSmm,0.984875182
MSdm3,ICHmw5,0.984870895
ESSFwcw,ESSFwh3,0.98487053
ESSFdc2,ESSFdh1,0.984855988
ESSFdv1,ESSFdh2,0.984853467
MHwh1,CWHvh2,0.98479025
ESSFmm3,ESSFwh3,0.984785564
SBSmm,ICHwk2,0.984753318
ESSFdvw,ESSFmw,0.984732488
MSxv,ICHdk,0.984728657
ESSFvcp,MHmm2,0.984679605
ESSFxv2,MSdc3,0.984651789
ICHmk3,ICHdw3,0.984647075
ESSFwmp,ESSFvc,0.98463712
IDFxw,IDFmw2,0.984560949
MSdc1,IDFww,0.984493712
ESSFmww,ESSFdh1,0.984474444
ESSFwmw,ESSFwc4,0.984431065
IDFdm2,ICHdw4,0.984375135
ICHmk5,ICHmw5,0.984369035
ESSFxv2,ESSFdc2,0.984348104
MSdm3,ICHmw3,0.984312117
ICHmk2,ICHmw3,0.984308659
SBSdh2,SBSdh1,0.984301249
ESSFmv4,ICHwc,0.984289827
CDFmm,CDFmm,0.984246316
SBPSmk,ICHdk,0.984232154
ESSFmmw,ESSFvcw,0.984226338
ESSFxcp,ESSFdcw,0.984126265
MSdm3,ICHmw2,0.984113721
IDFdk1,IDFmw2,0.984111311
ESSFmw,CWHms1,0.984097948
ESSFmv1,ICHmm,0.984081018
SBSmk1,ICHmc2,0.984062573
ESSFwmp,ESSFwc2,0.984048906
ESSFdcw,ESSFmh,0.984047432
ESSFdc3,ESSFmh,0.984029758
IDFdk4,IDFdk5,0.983959162
ESSFmv1,ICHmc2,0.983920173
ESSFmv3,SBSvk,0.983913745
ESSFxc3,ESSFmw2,0.983911417
ESSFdv1,ESSFmw1,0.983873407
ESSFxcw,MSdc3,0.983855213
ESSFdv1,MSdc1,0.983847652
ESSFwcp,ESSFvc,0.983826937
ESSFdkp,ESSFwm2,0.983817917
CWHds2,CWHds1,0.983799664
ESSFxcp,ESSFdc2,0.983796941
ESSFdk1,ICHvk1,0.983784319
ESSFmmw,ESSFwh1,0.983784291
ESSFdc3,ICHwk1,0.983736183
ESSFwm2,ICHwk1,0.983662512
IDFxw,IDFdh,0.983654723
ESSFwmw,ESSFvc,0.983584239
IDFxk,IDFxh1,0.983581244
CWHxm1,CWHxm1,0.983566177
ESSFxv2,MSdc2,0.983554577
ESSFdc1,CWHms1,0.983534355
ESSFdc2,ICHdm,0.983518813
IDFdk3,IDFdm2,0.983496086
ESSFwk2,SBSvk,0.983469559
MSdk,ICHmw2,0.983455081
ESSFmw2,ESSFdh1,0.983446586
MSdm3,ICHdw1,0.98341171
